('http://dbpedia.org/resource/Burgery_ambush', 'http://dbpedia.org/ontology/isPartOfMilitaryConflict', 'http://dbpedia.org/resource/Irish_War_of_Independence') 0.019415343236863728
('http://dbpedia.org/resource/Burgery_ambush', 'http://xmlns.com/foaf/0.1/depiction', 'http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Ireland.svg') 0.019415343236863728
('http://dbpedia.org/resource/Burgery_ambush', 'http://xmlns.com/foaf/0.1/name', 'Burgery Ambush') 0.019415343236863728
('http://dbpedia.org/resource/Burgery_ambush', 'http://dbpedia.org/ontology/commander', 'http://dbpedia.org/resource/George_Oliver_Plunkett') 0.019415343236863728
('http://dbpedia.org/resource/Burgery_ambush', 'http://dbpedia.org/ontology/thumbnail', 'http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Ireland.svg?width=300') 0.019415343236863728
('http://dbpedia.org/resource/Burgery_ambush', 'http://www.w3.org/2000/01/rdf-schema#label', 'Burgery ambush') 0.019415343236863728
('http://dbpedia.org/resource/Burgery_ambush', 'http://dbpedia.org/ontology/causalties', '2 dead') 0.019415343236863728
('http://dbpedia.org/resource/Burgery_ambush', 'http://dbpedia.org/ontology/date', datetime.date(1921, 3, 18)) 0.019415343236863728
('http://dbpedia.org/resource/Burgery_ambush', 'http://dbpedia.org/ontology/place', 'http://dbpedia.org/resource/Dungarvan') 0.01765840175010023
('http://dbpedia.org/resource/Burgery_ambush', 'http://dbpedia.org/ontology/place', 'http://dbpedia.org/resource/County_Waterford') 0.01765840175010023
('http://dbpedia.org/resource/Burgery_ambush', 'http://dbpedia.org/ontology/strength', '~20') 0.01707275458784573
('http://dbpedia.org/resource/Burgery_ambush', 'http://dbpedia.org/ontology/strength', '14 (initially)') 0.01707275458784573
('http://dbpedia.org/resource/Burgery_ambush', 'http://dbpedia.org/ontology/strength', '50 (subsequently)') 0.01707275458784573
('http://dbpedia.org/resource/Burgery_ambush', 'http://purl.org/dc/terms/subject', 'http://dbpedia.org/resource/Category:History_of_County_Waterford') 0.01677993100671848
